codlogradouro;nome_logradouro_concatenado;nome_oficial_logradouro;nome_logradouro_resumido;cod_indica_pavimentacao;desc_indica_pavimentacao;indica_corredor_transporte;indica_perimetral;codbairro;nomeBairro
74691;TRV BEM POSTA;Travessa Bem Posta;Trv Bem Posta;S;Via Pavimentada;;;566;NOVA DESCOBERTA
74713;RUA ALTO DA UNIAO;Rua Alto da União;R. Alto da Uniao;S;Via Pavimentada;;;558;VASCO DA GAMA
74721;RUA CATIGUA;Rua Catiguá;R. Catigua;S;Via Pavimentada;;;558;VASCO DA GAMA
74756;RUA HORIZONTE;Rua Horizonte;R. Horizonte;S;Via Pavimentada;;;205;BOA VIAGEM
74764;RUA LOURIVAL JUNIOR;Rua Lourival Junio;R. Lourival Junio;N;Via Não Pavimentada;;;884;COHAB
75060;RUA ALTO DA PEDRA BRANCA;Rua Alto da Pedra Branca;R. Alto da Pedra Branca;N;Via Não Pavimentada;;;884;COHAB
74772;RUA ALTO DO CACHAMBU;Rua Alto do Cachambu;R. Alto do Cachambu;N;Via Não Pavimentada;;;884;COHAB
74780;RUA MORRO DEDO DE DEUS;Rua Morro Dedo de Deus;R. Morro Dedo de Deus;N;Via Não Pavimentada;;;884;COHAB
74799;RUA SERRA DO MAR;Rua Serra do Mar;R. Serra do Mar;N;Via Não Pavimentada;;;884;COHAB
74802;RUA DO MEIO;Rua do Meio;R. do Meio;N;Via Não Pavimentada;;;205;BOA VIAGEM
74829;RUA IVONETE FERREIRA DA SILVA;Rua Ivonete Ferreira da Silva;R. Ivonete Ferreira da Silva;S;Via Pavimentada;;;248;PINA
74837;RUA DO TRIANGULO;Rua do Triângulo;R. do Triangulo;N;Via Não Pavimentada;;;230;IBURA
74837;RUA DO TRIANGULO;Rua do Triângulo;R. do Triangulo;N;Via Não Pavimentada;;;205;BOA VIAGEM
74837;RUA DO TRIANGULO;Rua do Triângulo;R. do Triangulo;N;Via Não Pavimentada;;;264;IMBIRIBEIRA
74845;RUA MONTE CASTELO;Rua Monte Castelo;R. Monte Castelo;S;Via Pavimentada;;;884;COHAB
74853;RUA SERRA DA BORBOREMA;Rua Serra da Borborema;R. Serra da Borborema;N;Via Não Pavimentada;;;884;COHAB
74861;RUA SERRA DA RAIZ;Rua Serra da Raiz;R. Serra da Raiz;N;Via Não Pavimentada;;;884;COHAB
74870;2TR DA LINHA;2ª Travessa da Linha;2Tr da Linha;N;Via Não Pavimentada;;;205;BOA VIAGEM
74888;RUA PICO DA NEBLINA;Rua Pico da Neblina;R. Pico da Neblina;S;Via Pavimentada;;;884;COHAB
74896;RUA JOSIAS RODRIGUES DOS SANTOS;Rua Josias Rodrigues dos Santos;R. Josias Rodrigues Dos Santos;N;Via Não Pavimentada;;;221;JORDAO
74900;RUA DR JOAO GUILHERME DE P SOBRINHO;Rua Dr João Guilherme de Pontes Sobrinho;R. Dr João Guilherme de P Sobrinho;P;Via Parcialmente Pavimentada;;;205;BOA VIAGEM
74918;RUA PARANA PIACICABA;Rua Paraná Piacicaba;R. Paraná Piacicaba;N;Via Não Pavimentada;;;884;COHAB
74934;RUA SANTA VITORIA;Rua Santa Vitória;R. Santa Vitoria;P;Via Parcialmente Pavimentada;;;779;AFOGADOS
74942;RUA MONTE BELO;Rua Monte Belo;R. Monte Belo;S;Via Pavimentada;;;884;COHAB
74950;RUA ALTO DO CEU;Rua Alto do Céu;R. Alto do Ceu;N;Via Não Pavimentada;;;884;COHAB
74969;AV PRESIDENTE DUTRA;Avenida Presidente Dutra;Av Pres Dutra;P;Via Parcialmente Pavimentada;;;884;COHAB
74977;3TR JATICY;3ª Travessa Jaticy;3Tr Jaticy;N;Via Não Pavimentada;;;264;IMBIRIBEIRA
74985;RUA MORRO DO PILAR;Rua Morro do Pilar;R. Morro do Pilar;S;Via Pavimentada;;;884;COHAB
75027;RUA JORNALISTA FRANCISCO ALMEIDA;Rua Jornalista Francisco Almeida;R. Jorn Francisco Almeida;S;Via Pavimentada;;;205;BOA VIAGEM
75086;TRV JOSE LEITE;Travessa José Leite;Trv José Leite;P;Via Parcialmente Pavimentada;;;248;PINA
75108;RUA DOS PALMARES;Rua dos Palmares;R. dos Palmares;S;Via Pavimentada;;;108;SANTO AMARO
75116;TRV DO CAMPO;Travessa do Campo;Trv do Campo;N;Via Não Pavimentada;;;43;ILHA JOANA BEZERRA
75124;RUA S D 6009;Rua S D 6009;R. S D 6009;S;Via Pavimentada;;;884;COHAB
75175;PRC JOSENILDO PAES BARRETO;Praça Josenildo Paes Barreto;Prc Josenildo Paes Barreto;X;Não definida;;;760;ILHA DO RETIRO
75183;TRV DO FORTE;Travessa do Forte;Trv do Forte;S;Via Pavimentada;;;35;SAO JOSE
75191;PTE JOSE DE BARROS LIMA;Ponte José de Barros lima;Pte José de Barros Lima;S;Via Pavimentada;;;43;ILHA JOANA BEZERRA
75191;PTE JOSE DE BARROS LIMA;Ponte José de Barros lima;Pte José de Barros Lima;S;Via Pavimentada;;;94;PAISSANDU
75205;VDO PAPA JOAO PAULO II;Viaduto Papa João Paulo II;Vdo Papa João Paulo II;S;Via Pavimentada;;;43;ILHA JOANA BEZERRA
75230;RUA CAVIANA;Rua Caviana;R. Caviana;S;Via Pavimentada;;;876;BARRO
75256;2TR DR VILAS BOAS;2ª Travessa Dr Vilas Boas;2Tr Dr Vilas Boas;X;Não definida;;;876;BARRO
75264;2TR DES ALTINO;2ª Travessa Desembargador Altino;2ª Tr Des. Altino;N;Via Não Pavimentada;;;736;VARZEA
75272;RUA S D 7527;Rua S D 7527;R. S D 7527;X;Não definida;;;582;MACAXEIRA
75280;RUA PREFEITO JORGE MARTINS;Rua Prefeito Jorge Martins;R. Pref Jorge Martins;S;Via Pavimentada;;;60;COELHOS
75280;RUA PREFEITO JORGE MARTINS;Rua Prefeito Jorge Martins;R. Pref Jorge Martins;S;Via Pavimentada;;;78;ILHA DO LEITE
75280;RUA PREFEITO JORGE MARTINS;Rua Prefeito Jorge Martins;R. Pref Jorge Martins;S;Via Pavimentada;;;94;PAISSANDU
75299;RUA JORNALISTA GONDIM DA FONSECA;Rua Jornalista Gondim da Fonseca;R. Jorn Gondim da Fonseca;N;Via Não Pavimentada;;;736;VARZEA
75302;PRC FILONILA FERREIRA;Praça Filonila Ferreira;Prc Filonila Ferreira;S;Via Pavimentada;;;736;VARZEA
75329;TRV AFONSO OLINDENSE;Travessa Afonso Olindense;Trv Afonso Olindense;S;Via Pavimentada;;;736;VARZEA
75345;TRV MARIA CAROLINA;Travessa Maria Carolina;Trv Maria Carolina;S;Via Pavimentada;;;205;BOA VIAGEM
75361;VIL EDMAR OLIVEIRA E SILVA;Vila Edmar Oliveira e Silva;Vil Edmar Oliveira e Silva;N;Via Não Pavimentada;;;922;COQUEIRAL
75396;C SANTA RITA;Cais Santa Rita;C. Santa Rita;S;Via Pavimentada;;;35;SAO JOSE
75396;C SANTA RITA;Cais Santa Rita;C. Santa Rita;S;Via Pavimentada;;;27;SANTO ANTONIO
75400;VIL ZENAIDE;Vila Zenaide;Vila Zenaide;S;Via Pavimentada;;;35;SAO JOSE
75426;VDO INDEPENDENCIA;Viaduto Independência;Vdo Independência;S;Via Pavimentada;;;108;SANTO AMARO
75426;VDO INDEPENDENCIA;Viaduto Independência;Vdo Independência;S;Via Pavimentada;;;86;BOA VISTA
75426;VDO INDEPENDENCIA;Viaduto Independência;Vdo Independência;S;Via Pavimentada;;;124;ESPINHEIRO
75434;VDO PRESIDENTE MEDICI;Viaduto Presidente Médici;Vdo Pres Médici;S;Via Pavimentada;;;108;SANTO AMARO
75434;VDO PRESIDENTE MEDICI;Viaduto Presidente Médici;Vdo Pres Médici;S;Via Pavimentada;;;124;ESPINHEIRO
